date,verb,core,preposition,fifth_hed
2016-08-10,Send,pulsating feedback,to,Heartbeats.
2016-08-17,Send,foraged feedback,to,Hunter-gatherers.
2016-08-24,Send,internationally-legible feedback,to,German traffic signs:
2016-08-31,Lob,your feedback,to,Tennis time.
2016-09-07,Send,high-speed feedback,to,The federal fleet.
2016-09-14,Send,satirical feedback,to,"Captionless cartoons, captioned."
2016-09-28,Send,spoiled ballots,to,Bush v. Gore v. hanging chads.
2016-10-05,Send,road-rage and feedback,to,Highway traffic.
2016-10-12,Send,motherlodes of feedback,to,"“Murray, I think you dropped New Zealand's mineral exports for '08-'09.”"
2016-10-19,Send,anniversary feedback,to,Readers like you.
2016-10-26,Send,passenger-friendly feedback,to,TSA confiscations.
2016-11-02,Send,more-bark-than-bite feedback,to,"The dangerous dogs of Austin, Texas."
2016-11-16,Send,deciduous feedback,to,Every street tree in NYC.
2016-11-30,Send,trivial feedback,to,I’ll take “Datasets” for $200.
2016-12-07,Send,harmonious feedback,to,"Classical music, annotated."
2016-12-14,Send,energy-efficient feedback,to,Energy use at 10 Downing Street.
2016-12-21,Send,vernacular feedback,to,The geography of language on Twitter.
2017-01-11,Send,striped feedback,to,Where Waldo is.
2017-01-18,Send,domain-specific feedback,to,Dot-gov domains.
2017-01-25,Send,carceral feedback,to,Standard mugshots.
2017-02-08,Send,life-extending feedback,to,Life expectancies.
2017-02-15,Send,high-scoring feedback,to,Student athletes.
2017-02-22,Send,telepathic feedback,to,"Pick a card, any card."
2017-03-01,Send,thick-skinned feedback,to,Gator hunting.
2017-03-08,Send,delectable feedback,to,Pictures of food.
2017-03-15,Send,ratifiable feedback,to,Nearly every proposed amendment to the Constitution.
2017-03-22,Send,trawled feedback,to,Gone fishing.
2017-03-29,Send,your favorite domain name and/or feedback,to,100 million domain names.
2017-04-05,Send,invasive feedback,to,Avian invasions.
2017-04-12,Send,hand-drawn feedback,to,One million comic book panels.
2017-04-19,Send,impeccibly spellled feedback,to,Spelling self-corrections.
2017-04-26,Send,pixel-perfect feedback,to,This must be the r/place.
2017-05-10,Send,mocking feedback,to,*Such* an important dataset.
2017-05-17,Send,climatic feedback,to,Story arcs.
2017-05-24,Send,hoppy feedback,to,🎶 Two thousand cans of craft beer on the wall 🎶.
2017-05-31,Send,Fido-approved feedback,to,NYC doggies.
2017-06-07,Send,germ-free feedback,to,E. coli at Ocean Beach.
2017-06-14,Send,far-out feedback,to,L.A. pot dispensaries.
2017-06-21,Send,inky feedback,to,Prisoners’ tattoos.
2017-06-28,Send,microbloggable feedback,to,140-character politics.
2017-07-19,Send,gushing feedback,to,Old Faithful et al.
2017-07-26,Send,audio feedback,to,Data podcast data.
2017-08-02,Send,ovation-worthy feedback,to,Harmony lovers.
2017-08-09,Send,photogenic feedback,to,Talent agencies.
2017-08-16,Send,fully factorized feedback,to,Prime psychology.
2017-08-23,Send,full-spectrum feedback,to,The World Color Survey.
2017-08-30,Send,wintry feedback,to,"Game of Thrones characters, judged."
2017-09-13,Send,lumbering feedback,to,It wood be hard to ignore this dataset.
2017-09-20,Send,comical feedback,to,xkcd.
2017-09-27,Send,safe-for-work feedback,to,"Your job, in numbers."
2017-10-04,Send,Ira-Glassian feedback,to,These American Voices.
2017-10-11,Send,angry hand gestures,to,Humans in motion.
2017-10-18,Send,conceptual feedback,to,Get the idea?
2017-11-01,Send,excitable feedback,to,Chimp personalities.
2017-11-08,Send,friendly feedback,to,The friends of Friends.
2017-11-29,Send,folksy feedback,to,Folktales.
2017-12-06,Send,frugal feedback,to,One family’s spending.
2017-12-13,Send,cryogenic feedback,to,Secure seeds.
2017-12-27,Send,seedless feedback,to,Italian for *watermelon*.
2018-01-03,Send,twisted feedback,to,Knotted string.
2018-01-10,Send,wrapped feedback,to,San Diego burritos.
2018-01-17,Send,fantastical feedback,to,The Ghibliverse.
2018-01-24,Send,instant feedback,to,Ramen ratings.
2018-02-07,Throw,a barrel of feedback,to,Donkey Kong.
2018-02-14,Send,nocturnal feedback,to,Imported bats.
2018-02-21,Send,engraved feedback,to,Public commemorations.
2018-02-28,Send,interdimensional feedback,to,Rick and Morty.
2018-03-07,Send,muscular feedback,to,Powerlifting.
2018-04-04,Send,loyal feedback,to,Even more dog (and cat) names.
2018-04-18,Send,antiseptic feedback,to,Miscellany.
2018-04-25,Send,tasty feedback,to,Cooks in the kitchen.
2018-05-09,Send,pedestrian feedback,to,Sidewalk grates.
2018-05-23,Send,well-sourced feedback,to,What Wikipedians cite.
2018-06-06,Send,well-sourced feedback,to,NICAR lightning talks.
2018-07-04,Send,going-once-going-twice feedback,to,Cars at auction.
2018-07-18,Send,newly-available feedback,to,FOIA’ed FBI files.
2018-08-01,Send,relieving feedback,to,Public restrooms.
2018-08-08,Send,shady feedback,to,More street trees.
2018-08-15,Send,publicly-traded feedback,to,Financial statements.
2018-08-22,Send,tailored feedback,to,Jeans pockets.
2018-09-12,Send,foamy feedback,to,Breweries.
2018-09-19,Send,intermediated feedback,to,New York real estate brokers.
2018-09-26,Send,toast-topping feedback,to,Avocado prices.
2018-10-03,Send,distracting feedback,to,Florida’s billboards.
2018-10-10,Send,tick-tock feedback,to,Parking meters in the five boroughs.
2018-10-31,Send,probably-fake feedback,to,Probably-fake political committees.
2018-11-07,Send,beamed-up feedback,to,All things Star Trek.
2018-11-28,Send,incisive feedback,to,Dog bites.
2018-12-05,Send,ice-cold feedback,to,Snow plows.
2018-12-12,Send,dreamy feedback,to,Boy bands.
2018-12-19,Send,embryonic feedback,to,A lot of insect eggs.
2019-01-02,Send,sandy feedback,to,A highly-measured beach.
2019-01-09,Send,Scandinavian feedback,to,From Spanskgrøn to Østerland.
2019-01-16,Send,🐮 feedback,to,Moooooooooo.
2019-01-30,Send,heavy-rotation feedback,to,Twin City radio spins.
2019-02-06,Send,anxious feedback,to,Advice sought.
2019-02-13,Send,nimble feedback,to,Obstacle courses.
2019-02-20,Send,high-RPM feedback,to,Golfing discs.
2019-03-06,Send,ovate feedback,to,Bird eggs.
2019-03-13,Send,captive feedback,to,Zoo animal lifespans.
2019-03-20,Send,disinfected feedback,to,Rooftop water tanks.
2019-03-27,Send,on-demand feedback,to,Uber for X.
2019-04-03,Send,famously unmanageable feedback,to,The Index Thomisticus.
2019-04-10,Send,nocturnal feedback,to,Bird-building collisions.
2019-04-17,Send,sugarcoated feedback,to,Double rainbows.
2019-04-24,Send,dystopian feedback,to,Hunger Games survival.
2019-05-01,Send,massively-multiplayer feedback,to,Fortnite.
2019-05-08,Send,knockout feedback,to,Southpaws.
2019-05-15,Send,well-oiled feedback,to,Speedcubing.
2019-05-22,Send,hyper-hyphenated feedback,to,From Abdul-Aziz to Young-Malcolm.
2019-05-29,Send,synthy feedback,to,From !!! to The Zutons.
2019-06-05,Send,energy-efficient feedback,to,Thirsty appliances.
2019-06-12,Send,protected feedback,to,National parks.
2019-06-19,Send,obviously perfect feedback,to,An obviously perfect dataset.
2019-06-26,Send,annual-recap feedback,to,The State Of The State Of The States.
2019-07-03,Send,pepperonied feedback,to,Annotated pizzas.
2019-07-10,Send,curveballs,to,Ballparks.
2019-07-17,Send,boundless feedback,to,Inter- and intra-national boundaries.
2019-07-24,Send,soggy feedback,to,Welsh shipping crews.
2019-07-31,Send,low-gravity feedback,to,Soviet space dogs.
2019-08-07,Send,distilled feedback,to,State liquor prices.
2019-08-14,Send,presentable feedback,to,TED talks.
2019-08-21,Send,self-sure feedback,to,Confidence.
2019-08-28,Send,spliced feedback,to,Movie shots.
2019-09-04,Send,spliced feedback,to,"Rah, rah, rah! Fight, fight, fight!"
2019-09-11,Send,bug reports,to,Bug fixes.
2019-09-18,Send,black-market feedback,to,Dark-web screenshots.
2019-09-25,Send,very loud feedback,to,UK noise pollution.
2019-10-02,Send,very well-kerned feedback,to,Designer data.
2019-10-09,Send,home-cooked feedback,to,Walter White and company.
2019-10-16,Send,frondtastic feedback,to,🌴🌴🌴🌴🌴.
2019-10-23,Send,"feedback, with axes labeled,",to,Charts and minds.
2019-11-13,Send,ageless feedback,to,Perceived vs. real ages.
2019-11-20,Send,furry-tailed feedback,to,Central Park squirrels.
2019-11-27,Send,ascetic feedback,to,Medieval monasteries.
2019-12-04,Send,elevated feedback,to,British Isle bumps.
2019-12-11,Send,permed feedback,to,Yearbook photos.
2019-12-18,Send,frightening feedback,to,Boo!
2020-01-01,Send,risky feedback,to,Game show gambles.
2020-01-15,Send,CPU-intensive feedback,to,The life of a supercomputer.
2020-01-22,Send,icy feedback,to,Backyard ice rinks.
2020-01-29,Send,vain feedback,to,California vanity plates.
2020-02-05,Send,common feedback,to,Last (but not least) names.
2020-02-12,Send,critic-approved feedback,to,Biggie data.
2020-02-19,Send,high-scoring feedback,to,Pinball.
2020-02-26,Send,notorious feedback,to,Cockatoo Island prisoners.
2020-03-04,Send,splattered feedback,to,Bug splats.
2020-03-11,Send,tuxedoed feedback,to,Penguins.
2020-03-18,Send,at-first-sight feedback,to,Speed dating.
2020-03-25,Send,centuries-old feedback,to,Unfinished business.
2020-04-01,Send,know-it-all feedback,to,Before Wikipedia.
2020-04-08,Send,DNS-queryable feedback,to,A lot of domain names.
2020-04-15,Send,deserted-island feedback,to,Animal Crossing.
2020-04-22,Send,morally-questionable feedback,to,Crowdsourced moral judgements.
2020-04-29,Send,precocious feedback,to,Poems by kids.
2020-05-06,Send,competitively-romantic feedback,to,Love Island.
2020-05-13,Send,distilled feedback,to,Millions of Iowa liquor purchases.
2020-05-20,Send,Dickensian feedback,to,Victorian fiction.
2020-05-27,Send,calcified feedback,to,Seashells.
2020-06-10,Send,feedback,to,Tech’s BLM statements.
2020-06-17,Send,feedback,to,A few hundred penguins.
2020-06-24,Send,ancient feedback,to,These datasets lead to Rome.
2020-07-01,Send,keyboard-and-mousey feedback,to,Humans using computers.
2020-07-08,Send,monstrous feedback,to,Dungeons & Dragons dialogue.
2020-07-15,Send,illuminating feedback,to,Old British lighthouses.
2020-07-22,Send,double-patty feedback,to,The Big Mac Index.
2020-07-29,Send,impactful feedback,to,Meteorite landings.
2020-08-05,Send,impactful feedback,to,A lot of CAD sketches.
2020-08-12,Send,thumbs-up/down feedback,to,44 million Reddit votes.
2020-08-19,Send,pollinating feedback,to,Bees.
2020-08-26,Send,uncensored feedback,to,Bad words.
2020-09-02,Send,scriptural feedback,to,The Bible.
2020-09-30,Send,minimally-factorable feedback,to,Prime numbers.
2020-10-07,Send,smoochy feedback,to,A lifetime of first kisses.
2020-10-21,Send,fishy feedback,to,Shrinking salmon.
2020-10-28,Send,allegedly-wicked feedback,to,Witch trials.
2020-11-11,Send,glass-shattering feedback,to,The opera.
2020-11-18,Send,leafy feedback,to,Yet more urban trees.
2020-12-02,Send,sequential feedback,to,Integer sequences.
2020-12-09,Send,happy little bits of feedback,to,Bob Ross paintings.
2020-12-16,Send,cyber feedback,to,Cyber wargames.
2020-12-23,Send,uncontaminated feedback,to,Who washes meat?
2021-01-06,Send,journo-poetic feedback,to,2020 in haiku.
2021-01-13,Send,strategic feedback,to,Chess puzzles.
2021-01-20,Send,hyperlinked feedback,to,Newsletter links.
2021-01-27,Send,polymathic feedback,to,The da Vinci codex.
2021-02-03,Send,knucklepuck feedback,to,Hockey.
2021-02-10,Send,trying-to-be-funny feedback,to,Super Bowl ads.
2021-02-24,Send,illustrated feedback,to,O’Reilly animals.
2021-03-03,Send,earthy feedback,to,Soil.
2021-03-10,Send,ultrasonic feedback,to,Amsterdam’s bats.
2021-03-17,Send,super-rich feedback,to,Early British millionaires.
2021-03-24,Send,aged feedback,to,Animal lifespans.
2021-03-31,Send,leguminous feedback,to,Dried beans.
2021-04-07,Send,wild-caught feedback,to,Fishing the Great Lakes.
2021-04-14,Send,audible feedback,to,Rainforest soundscapes.
2021-04-21,Send,feedback from the C-suite,to,CEO dismissals.
2021-04-28,Send,multi-stage feedback,to,Le Tour.
2021-05-05,Send,conniving feedback,to,Television castaways.
2021-05-12,Send,spring omnipotent feedback,to,Edward Estlin Cummings.
2021-05-26,Send,€-denominated feedback,to,"The coins in 22,500 French wallets."
2021-06-02,Send,anaerobic feedback,to,Fermentative microbes.
2021-06-09,Send,proven feedback,to,Mathematical proofs.
2021-06-16,Send,stuck-in-tree feedback,to,"Fox in bedroom, dog trapped in wall."
2021-06-23,Send,box-of-chocolates feedback,to,Forrest Gump-ology.
2021-06-30,Send,felinovocal feedback,to,The cat’s meow.
2021-07-07,Send,new-to-science feedback,to,Andean roadkill.
2021-07-14,Send,⚡️ feedback,to,Lightning intensity.
2021-08-11,Send,horological feedback,to,Seattle street clocks.
2021-08-18,Send,nested feedback,to,Shows within shows.
2021-08-25,Send,speedy feedback,to,Formula One.
2021-09-01,Send,automated feedback,to,Creative Twitter bots.
2021-09-08,Send,unparliamentary feedback,to,UK parliamentary ejections.
2021-09-22,Send,cryptic feedback,to,Hidden clue here will be!
2021-09-29,Send,danceable feedback,to,Dancing.
2021-10-06,Send,ossified feedback,to,The _____ bone’s connected to the _____ bone.
2021-10-13,Send,feathered feedback,to,Bird food.
2021-10-20,Send,saccharine feedback,to,Halloween candy.
2021-11-03,Send,arachnoid feedback,to,Spiders.
2021-11-10,Send,Lynchian feedback,to,Damn fine coffees.
2021-11-17,Send,colorful feedback,to,Werner’s Nomenclature of Colours.
2021-12-01,Send,Dunder Mifflinesque feedback,to,“Early worm gets the worm.”
2021-12-08,Send,cratered feedback,to,A map of our moon.
2021-12-15,Send,tune-vending feedback,to,1 million Bandcamp sales.
2021-12-22,Send,dentist-approved feedback,to,Toothbrushing.
2021-12-29,Send,radical feedback,to,Root traits.
2022-01-05,Send,mellifluous feedback,to,Honey bees.
2022-01-12,Send,tempered feedback,to,Chocolate bar reviews.
2022-01-19,Send,five-letter feedback,to,Wordle words.
2022-01-26,Send,Melvillesque feedback,to,Whaling.
2022-02-02,Send,borrowed feedback,to,Borrowed words.
2022-02-09,Send,tabletop feedback,to,Board games.
2022-03-09,Send,guilder-denominated feedback,to,Medieval prices.
2022-03-16,Send,unsupported feedback,to,Software sunsets.
2022-03-23,Send,born-digital feedback,to,Born-digital artworks.
2022-03-30,Send,Glee-ful feedback,to,Teenagers on TV.
2022-04-06,Send,sharp-toothed feedback,to,White sharks.
2022-04-13,Send,flesh-eating feedback,to,Carnivore diets.
2022-04-20,Send,eight-legged feedback,to,Spider news.
2022-04-27,Send,meta-meta-metadata feedback,to,The meta-Dataverse.
2022-05-04,Send,upside-down feedback,to,Bats in caves.
2022-05-11,Send,Tudoresque feedback,to,Milwaukee house styles.
2022-05-18,Send,crisp feedback,to,Banknote people.
2022-05-25,Send,shelves of feedback,to,Art Garfunkel’s library.
2022-06-01,Send,dusty ledgers of feedback,to,“What Middletown Read.”
2022-06-08,Send,open-air feedback,to,Roman amphitheaters.
2022-06-15,Send,dynastic feedback,to,European royal families.
2022-06-22,Send,transplanted feedback,to,NYC tree plantings.
2022-06-29,Send,carbon-dated feedback,to,Dendrochronology.
2022-07-06,Send,impersonated feedback,to,Saturday Night Live.
2022-07-13,Send,silent feedback,to,Early movie theaters in Oregon.
2022-07-20,Send,onside feedback,to,The World Cup.
2022-07-27,Send,provoked and unprovoked feedback,to,Shark bites.
2022-08-03,Send,unrefusable feedback,to,Diplomatic gifts.
2022-08-10,Send,the next generation of feedback,to,"“Tea, Earl Grey, hot.”"
2022-08-17,Send,mutant feedback,to,Atomic gardening.
2022-08-24,Send,locomotive feedback,to,Bryan’s whistle-stop tour.
2022-08-31,Send,fiddleheaded feedback,to,Fern phylogenetics.
2022-09-07,Send,firmly-rooted feedback,to,Even more street trees.
2022-09-14,Send,auroral feedback,to,Space weather.
2022-09-21,Send,coin-operated feedback,to,Atari emails.
2022-09-28,Send,launch-day feedback,to,Tech products promoted.
2022-10-05,Send,todo lists and feedback,to,A decade of tasks.
